school;student;student;normexam;cons;standlrt;girl;avslrt
1;1;1;0;1;1;1;0
1;2;2;0;1;0;1;0
1;3;3;-2;1;-1;0;0
1;4;4;1;1;0;1;0
1;5;5;1;1;0;1;0
1;6;6;2;1;2;0;0
1;7;7;1;1;-1;0;0
1;8;8;0;1;-1;0;0
1;9;9;-1;1;-1;1;0
1;10;10;-1;1;-1;0;0
1;11;11;2;1;2;0;0
1;12;12;1;1;2;0;0
1;13;13;-2;1;0;0;0
1;14;14;0;1;1;0;0
1;15;15;2;1;3;0;0
1;16;16;1;1;1;1;0
1;17;17;2;1;1;1;0
1;18;18;1;1;1;0;0
1;19;19;-1;1;-1;0;0
1;20;20;1;1;-1;1;0
1;21;21;-1;1;0;1;0
1;22;22;-1;1;-1;0;0
1;23;23;0;1;-1;1;0
1;24;24;0;1;-2;0;0
1;25;25;2;1;0;1;0
1;26;26;1;1;0;0;0
1;27;27;0;1;1;0;0
1;28;28;0;1;0;0;0
1;29;29;2;1;1;1;0
1;30;30;2;1;2;0;0
1;31;31;0;1;-1;0;0
1;32;32;1;1;-1;0;0
1;33;33;2;1;0;0;0
1;34;34;-1;1;0;0;0
1;35;35;0;1;0;0;0
1;36;36;1;1;1;0;0
1;37;37;0;1;0;0;0
1;38;38;0;1;0;0;0
1;39;39;2;1;1;0;0
1;40;40;0;1;0;0;0
1;41;41;0;1;0;0;0
1;42;42;1;1;1;0;0
1;43;43;1;1;0;1;0
1;44;44;-1;1;-1;1;0
1;45;45;-1;1;-1;0;0
1;46;46;-1;1;-2;0;0
1;47;47;2;1;1;1;0
1;48;48;-1;1;0;0;0
1;49;49;2;1;1;1;0
1;50;50;0;1;-1;1;0
1;51;51;0;1;0;0;0
1;52;52;0;1;0;0;0
1;53;53;2;1;2;1;0
1;54;54;2;1;0;1;0
1;55;55;1;1;2;1;0
1;56;56;0;1;0;1;0
1;57;57;0;1;0;1;0
1;58;58;1;1;0;1;0
1;59;59;-1;1;-1;1;0
1;60;60;2;1;2;0;0
1;61;61;2;1;1;1;0
1;62;62;-2;1;-1;0;0
1;63;63;1;1;1;0;0
1;64;64;2;1;1;1;0
1;65;65;2;1;0;0;0
1;66;66;1;1;1;1;0
1;67;67;-1;1;-1;0;0
1;68;68;0;1;0;0;0
1;69;69;2;1;0;0;0
1;70;70;1;1;2;0;0
1;71;71;-1;1;-1;1;0
1;72;72;1;1;1;0;0
1;73;73;0;1;0;0;0
2;1;1;2;1;0;1;0
2;2;2;1;1;1;1;0
2;3;3;1;1;0;1;0
2;4;4;0;1;1;1;0
2;5;5;-1;1;-1;1;0
2;6;6;2;1;1;1;0
2;7;7;2;1;1;1;0
2;8;8;3;1;1;1;0
2;9;9;3;1;0;1;0
2;10;10;1;1;1;1;0
2;11;11;2;1;1;1;0
2;12;12;0;1;-1;1;0
2;13;13;0;1;-1;1;0
2;14;14;1;1;1;1;0
2;15;15;3;1;1;1;0
2;16;16;2;1;1;1;0
2;17;17;1;1;0;1;0
2;18;18;-1;1;0;1;0
2;19;19;1;1;0;1;0
2;20;20;1;1;0;1;0
